PrecNo,PrecName,Tot,D2Pre,D2Sen,D2Att,D2Aud,D2Tre,ROSen,ROAtt,ROAud,ROTre
0013,13 PORT MATILDA,280,26.41509433962264,31.07569721115538,34.18181818181818,35.177865612648226,39.6,-0.3610108303249149,0.3610108303249149,0.7220216606498187,1.8050541516245522
0014,14 SNOW SHOE BORO,329,26.01880877742947,31.333333333333336,32.80757097791798,34.01360544217687,37.41258741258741,0.911854103343468,3.6474164133738607,4.559270516717328,5.775075987841949
0015,15 RUSH NORTH CENTRAL,197,31.666666666666664,33.5195530726257,45.07772020725388,43.604651162790695,45.78313253012048,0.512820512820511,1.025641025641022,5.128205128205132,5.641025641025643
0016,16 SC NORTH,638,82.91457286432161,77.19869706840392,76.12179487179486,78.58407079646018,76.97841726618705,0.47244094488189115,1.2598425196850394,4.251968503937009,4.409448818897643
0017,17 SC NORTHEAST,539,79.16666666666666,72.77992277992279,73.51247600767753,74.68619246861925,72.86012526096033,0.747663551401867,2.242990654205612,3.1775700934579487,2.990654205607479
0018,18 SC NORTHWEST,1361,73.41772151898735,63.521015067406815,66.46153846153847,63.844797178130506,63.30114135206322,1.6176470588235348,4.117647058823525,5.588235294117649,5.588235294117649
0019,19 SC SOUTH 1,1288,75.76791808873719,72.27891156462584,72.2978382706165,72.48384118190212,71.50837988826815,1.0132501948558081,2.104442712392829,4.053000779423222,3.8191738113795837
0020,20 SC SOUTH 2,1081,72.52208047105006,68.3852140077821,68.3111954459203,68.42650103519668,68.46560846560847,0.37278657968312645,1.6775396085740968,2.4231127679403497,2.329916123019571
0021,21 SC SOUTHEAST,866,76.47058823529412,71.1864406779661,70.61611374407583,72.71557271557272,71.29870129870129,0.23255813953488857,1.8604651162790753,1.8604651162790753,2.209302325581397
0022,22 SC SOUTH CENTRAL 1,506,72.52252252252252,70.24608501118567,67.57322175732217,69.6969696969697,69.6078431372549,1.3861386138613874,3.5643564356435675,3.7623762376237657,3.5643564356435675
0023,23 SC SOUTH CENTRAL 2,695,75.73415765069552,72.35023041474655,71.85185185185186,71.5,71.45299145299145,0.8670520231213841,2.3121387283236983,3.9017341040462394,4.335260115606932
0024,24 SC EAST 1,1645,56.40858815875082,47.15871979098628,51.60668380462725,47.636103151862464,47.73691654879774,2.9823493609251406,4.747413268411438,6.8167985392574515,6.634205721241626
0025,25 SC EAST 2,1454,71.62756598240469,64.8529411764706,65.8255227108868,64.69155844155844,63.621533442088094,1.791867677463821,4.135079255685737,7.029634734665747,7.167470709855273
0026,26 SC EAST 3,1897,66.44295302013423,57.48738081884465,60.64123825317856,57.07257072570726,57.45207173778603,2.6884554559831297,4.059040590405905,6.6947812335266255,6.6947812335266255
0027,27 SC EAST 4,1905,67.32394366197182,60.75238629983155,63.76969038565997,61.52919927754365,61.64960866947622,1.5231092436974736,2.8361344537815136,4.254201680672265,4.201680672268903
0028,28 SC EAST CENTRAL 1,1044,73.00930713547052,63.25486182190379,64.44223107569721,62.542565266742336,61.20591581342435,2.1093000958772756,3.547459252157237,5.752636625119845,5.56088207094918
0029,29 SC EAST CENTRAL 2,1021,67.12041884816755,58.201058201058196,59.95850622406639,55.60747663551402,56.94117647058824,2.6470588235294135,4.90196078431373,8.529411764705886,8.529411764705886
0030,30 SC EAST CENTRAL 3,557,62.38003838771593,54.12667946257198,58.83458646616542,54.35244161358811,55.323590814196244,1.8018018018018056,3.2432432432432434,5.94594594594594,5.94594594594594
0031,31 SC WEST 1,599,79.96422182468694,73.38003502626971,72.61698440207972,73.18007662835248,72.98850574712644,0.8403361344537785,2.857142857142858,5.042016806722693,5.210084033613449
0032,32 SC WEST 2,706,66.92307692307692,61.56156156156156,60.92619392185239,61.22778675282714,63.0114566284779,0.14224751066855834,1.5647226173541973,3.1294452347083945,3.69843527738265
0033,33 SC WEST CENTRAL 1,768,66.86046511627907,59.94152046783626,60,57.53205128205128,58.26771653543307,1.822916666666663,3.515625,5.5989583333333375,5.46875
0034,34 SC WEST CENTRAL 2,1129,67.95366795366795,58.63723608445297,60.568720379146924,58.35164835164836,57.80409041980624,3.374777975133214,5.772646536412074,8.969804618117227,9.147424511545289
0035,35 UNIONVILLE,152,18.75,27.27272727272727,31.788079470198678,31.851851851851855,30.303030303030305,0,0.6578947368421018,2.631578947368418,1.9736842105263164
0036,36 BENNER NORTH,1048,31.89568706118355,34.55497382198953,36.811023622047244,36.71957671957672,40.75268817204301,1.2464046021092967,2.5886864813039256,3.4515819750719046,3.8350910834132335
0037,37 BENNER SOUTH,1371,36.99155794320798,38.443396226415096,40,43.96482813749001,44.4264943457189,0.5856515373352855,1.68374816983895,2.7818448023426035,3.1478770131771583
